Blinded.Mouse.Letter	Fecal.Pellet.Number	Fecal.Pellet.Section	Initials	Measurement.Number	Measurement	Mouse.ID	Reembedded
E	3	2	PV	3	28.222	M2	No
E	3	2	PV	4	37.087	M2	No
E	1	2	NS	1	27.617	M2	No
E	1	2	NS	2	31.488	M2	No
E	1	2	NS	3	20.929	M2	No
E	1	2	NS	4	23.679	M2	No
E	1	2	NS	5	18.966	M2	No
E	1	3	NS	1	19.906	M2	No
E	1	3	NS	2	26.283	M2	No
E	1	3	NS	3	26.117	M2	No
E	1	3	NS	4	24.262	M2	No
E	1	3	NS	5	37.769	M2	No
E	2	1	NS	1	42.719	M2	No
E	2	1	NS	2	45.541	M2	No
E	3	3	MA	5	30.902	M2	No
E	2	1	NS	4	29.982	M2	No
E	2	1	NS	5	36.681	M2	No
E	2	3	NS	1	48.478	M2	No
E	2	3	NS	2	48.793	M2	No
E	1	2	PV	1	28.969	M2	No
E	1	2	PV	2	23.565	M2	No
E	1	2	PV	3	38.963	M2	No
E	1	2	PV	4	40.722	M2	No
E	1	2	PV	5	27.43	M2	No
E	1	3	PV	1	35.044	M2	No
E	1	3	PV	2	23.05	M2	No
E	1	2	MA	1	24.258	M2	No
E	1	2	MA	2	27.924	M2	No
E	1	2	MA	3	38.724	M2	No
E	1	2	MA	4	30.339	M2	No
E	1	2	MA	5	30.475	M2	No
E	1	3	MA	1	24.424	M2	No
E	2	3	MA	5	52.245	M2	No
E	3	2	MA	1	27.276	M2	No
E	3	2	MA	2	24.49	M2	No
E	1	3	MA	5	34.754	M2	No
E	2	1	MA	1	30.369	M2	No
E	2	1	MA	2	29.609	M2	No
E	2	1	MA	3	21.224	M2	No
E	2	1	MA	4	28.513	M2	No
E	2	1	MA	5	57.723	M2	No
E	2	3	MA	1	32.407	M2	No
E	2	3	MA	2	34.902	M2	No
E	2	3	MA	3	43.103	M2	No
E	2	3	MA	4	45.714	M2	No
E	2	1	NS	3	33.093	M2	No
E	3	2	MA	3	18.599	M2	No
F	3	1	PV	5	24.82	M31	No
F	3	8	PV	2	35.494	M31	No
F	2	8	NS	3	44.382	M31	No
F	3	8	PV	1	37.079	M31	No
F	2	8	NS	5	23.281	M31	No
F	3	1	NS	1	27.975	M31	No
F	3	1	NS	2	23.253	M31	No
F	2	8	NS	4	22.116	M31	No
F	1	3	PV	3	23.973	M31	No
F	1	3	PV	4	11.474	M31	No
F	1	3	PV	5	16.712	M31	No
F	2	1	PV	1	32.276	M31	No
F	2	1	PV	2	27.594	M31	No
F	2	1	PV	3	17.285	M31	No
F	2	1	PV	4	38.064	M31	No
F	2	1	PV	5	23.408	M31	No
F	2	8	PV	1	33.363	M31	No
F	2	8	PV	2	35.025	M31	No
F	2	8	PV	3	16.626	M31	No
F	2	8	PV	4	22.97	M31	No
F	2	8	PV	5	20.519	M31	No
F	3	1	PV	1	30.545	M31	No
F	3	1	PV	2	40.123	M31	No
F	3	1	PV	3	42.622	M31	No
F	3	1	PV	4	27.1	M31	No
F	1	2	NS	1	39.039	M31	No
F	1	2	NS	2	18.555	M31	No
F	1	2	NS	3	19.988	M31	No
F	1	2	NS	4	12.36	M31	No
F	1	2	NS	5	19.178	M31	No
F	1	3	NS	1	17.513	M31	No
F	1	3	NS	2	76.159	M31	No
F	1	3	NS	3	52.078	M31	No
F	1	3	NS	4	42.095	M31	No
F	1	3	NS	5	29.448	M31	No
F	2	1	NS	1	43.698	M31	No
F	2	1	NS	2	26.773	M31	No
F	2	1	NS	3	33.866	M31	No
F	2	1	NS	4	34.587	M31	No
F	2	1	NS	5	41.278	M31	No
F	2	8	NS	1	37.715	M31	No
F	2	8	NS	2	24.39	M31	No
F	1	2	PV	1	12.034	M31	No
F	1	2	PV	2	10.412	M31	No
F	1	2	PV	3	24.414	M31	No
F	1	2	PV	4	15.617	M31	No
F	1	2	PV	5	17.011	M31	No
F	1	3	PV	1	26.416	M31	No
F	1	3	PV	2	32.657	M31	No
F	1	2	MA	1	20.136	M31	No
F	1	2	MA	2	15.584	M31	No
F	1	2	MA	3	26.326	M31	No
F	1	2	MA	4	13.735	M31	No
F	1	2	MA	5	14.804	M31	No
F	1	3	MA	1	29.793	M31	No
F	1	3	MA	2	19.009	M31	No
F	1	3	MA	3	14.643	M31	No
F	1	3	MA	4	17.298	M31	No
F	1	3	MA	5	26.376	M31	No
F	2	1	MA	1	23.675	M31	No
F	2	1	MA	2	20.696	M31	No
F	2	1	MA	3	28.767	M31	No
F	2	1	MA	4	23.281	M31	No
F	2	1	MA	5	31.277	M31	No
F	2	8	MA	1	23.73	M31	No
F	2	8	MA	2	37.693	M31	No
F	2	8	MA	3	33.499	M31	No
F	2	8	MA	4	20.812	M31	No
F	2	8	MA	5	28.736	M31	No
F	3	8	PV	3	22.867	M31	No
F	3	8	PV	4	37.079	M31	No
F	3	8	PV	5	37.583	M31	No
F	4	6	PV	1	34.958	M31	No
F	4	6	PV	2	38.356	M31	No
F	4	6	PV	3	26.94	M31	No
F	4	6	PV	4	22.428	M31	No
F	4	6	PV	5	31.511	M31	No
F	4	7	PV	1	40.831	M31	No
F	4	7	PV	2	30.723	M31	No
F	4	7	PV	3	28.984	M31	No
F	4	7	PV	4	33.161	M31	No
F	4	7	PV	5	34.108	M31	No
F	4	6	MA	4	38.095	M31	No
F	4	6	MA	5	32.16	M31	No
F	4	7	MA	1	15.114	M31	No
F	4	7	MA	2	26.874	M31	No
F	4	7	MA	3	21.932	M31	No
F	4	7	MA	4	25.104	M31	No
F	4	7	MA	5	25.08	M31	No
F	3	1	NS	4	39.041	M31	No
F	3	1	NS	5	19.798	M31	No
F	3	8	NS	1	33.374	M31	No
F	3	8	NS	2	23.111	M31	No
F	3	8	NS	3	26.853	M31	No
F	3	8	NS	4	23.136	M31	No
F	3	8	NS	5	23.784	M31	No
F	4	6	NS	1	29.448	M31	No
F	4	6	NS	2	26.061	M31	No
F	4	6	NS	3	23.774	M31	No
F	4	6	NS	4	28.268	M31	No
F	4	6	NS	5	29.982	M31	No
F	4	7	NS	1	22.764	M31	No
F	4	7	NS	2	26.829	M31	No
F	4	7	NS	3	29.144	M31	No
F	4	7	NS	4	31.624	M31	No
F	4	7	NS	5	27.075	M31	No
F	3	8	MA	5	24.338	M31	No
F	4	6	MA	1	32.325	M31	No
F	4	6	MA	2	27.803	M31	No
F	4	6	MA	3	35.253	M31	No
F	3	1	MA	1	35.807	M31	No
F	3	1	MA	2	43.103	M31	No
F	3	1	MA	3	29.433	M31	No
F	3	1	MA	4	35.658	M31	No
F	3	1	MA	5	28.57	M31	No
F	3	8	MA	1	29.433	M31	No
F	3	8	MA	2	31.168	M31	No
F	3	8	MA	3	23.504	M31	No
F	3	8	MA	4	33.103	M31	No
F	3	1	NS	3	25.825	M31	No
G	3	3	PV	5	79.186	M38	No
G	3	8	PV	2	96.722	M38	No
G	3	8	PV	3	110.145	M38	No
G	4	5	MA	5	150.151	M38	No
G	3	8	PV	1	174.163	M38	No
G	4	8	MA	2	97.959	M38	No
G	4	8	MA	3	181.291	M38	No
G	4	8	MA	4	128.992	M38	No
G	4	8	MA	1	94.75	M38	No
G	1	8	PV	3	84.492	M38	No
G	1	8	PV	4	52.832	M38	No
G	1	8	PV	5	50.954	M38	No
G	2	2B	PV	1	108.285	M38	No
G	2	2B	PV	2	78.616	M38	No
G	2	2B	PV	3	165.175	M38	No
G	2	2B	PV	4	154.915	M38	No
G	2	2B	PV	5	213.545	M38	No
G	2	5B	PV	1	204.631	M38	No
G	2	5B	PV	2	62.801	M38	No
G	2	5B	PV	3	186.254	M38	No
G	2	5B	PV	4	178.581	M38	No
G	2	5B	PV	5	115.638	M38	No
G	3	3	PV	1	92.886	M38	No
G	3	3	PV	2	144.129	M38	No
G	3	3	PV	3	70.059	M38	No
G	3	3	PV	4	50.541	M38	No
G	1	1	NS	1	31.572	M38	No
G	1	1	NS	2	48.153	M38	No
G	1	1	NS	3	38.099	M38	No
G	1	1	NS	4	40.78	M38	No
G	3	8	PV	4	56.075	M38	No
G	3	8	PV	5	75.742	M38	No
G	4	5	PV	1	42.048	M38	No
G	4	5	PV	2	140.328	M38	No
G	4	5	PV	3	110.624	M38	No
G	4	5	PV	4	145.541	M38	No
G	4	5	PV	5	131.45	M38	No
G	4	8	PV	1	106.178	M38	No
G	4	8	PV	2	105.39	M38	No
G	4	8	PV	3	157.396	M38	No
G	4	8	PV	4	101.226	M38	No
G	4	8	PV	5	90.897	M38	No
G	4	5	MA	4	170.367	M38	No
G	2	5A	NS	3	31.041	M38	No
G	2	5A	NS	4	63.134	M38	No
G	2	5A	NS	5	181.078	M38	No
G	3	3	NS	1	105.569	M38	No
G	3	3	NS	2	90.217	M38	No
G	3	3	NS	3	170.205	M38	No
G	3	3	NS	4	45.704	M38	No
G	3	3	NS	5	64.58	M38	No
G	3	8	NS	1	42.681	M38	No
G	3	8	NS	2	50.196	M38	No
G	3	8	NS	3	88.18	M38	No
G	3	8	NS	4	202.685	M38	No
G	3	8	NS	5	83.355	M38	No
G	4	5	NS	1	52.437	M38	No
G	4	5	NS	2	30.246	M38	No
G	4	5	NS	3	87.94	M38	No
G	4	5	NS	4	152.43	M38	No
G	4	5	NS	5	97.899	M38	No
G	4	8	NS	1	59.866	M38	No
G	4	8	NS	2	41.843	M38	No
G	4	8	NS	3	96.629	M38	No
G	4	8	NS	4	126.797	M38	No
G	4	8	NS	5	49.212	M38	No
G	2	5B	MA	2	90.166	M38	No
G	2	5B	MA	3	75.208	M38	No
G	2	5B	MA	4	201.32	M38	No
G	2	5B	MA	5	199.591	M38	No
G	1	1	NS	5	74.956	M38	No
G	1	8	NS	1	38.064	M38	No
G	1	8	NS	2	31.286	M38	No
G	1	8	NS	3	39.039	M38	No
G	1	8	NS	4	59.866	M38	No
G	1	8	NS	5	26.839	M38	No
G	2	2A	NS	1	19.58	M38	No
G	2	2A	NS	2	58.559	M38	No
G	2	2A	NS	3	47.182	M38	No
G	2	2A	NS	4	76.578	M38	No
G	2	2A	NS	5	39.058	M38	No
G	2	5A	NS	1	245.456	M38	No
G	2	5A	NS	2	58.697	M38	No
G	1	1	PV	1	69.024	M38	No
G	1	1	PV	2	49.879	M38	No
G	1	1	PV	3	52.764	M38	No
G	1	1	PV	4	56.794	M38	No
G	1	1	PV	5	56.35	M38	No
G	1	8	PV	1	57.349	M38	No
G	1	8	PV	2	45.897	M38	No
G	1	1	MA	1	60.209	M38	No
G	1	1	MA	2	49.736	M38	No
G	1	1	MA	3	61.197	M38	No
G	1	1	MA	4	52.29	M38	No
G	1	1	MA	5	56.441	M38	No
G	1	8	MA	1	106.574	M38	No
G	1	8	MA	2	51.445	M38	No
G	1	8	MA	3	65.306	M38	No
G	1	8	MA	4	48.85	M38	No
G	1	8	MA	5	67.947	M38	No
G	2	2B	MA	1	104.337	M38	No
G	2	2B	MA	2	199.19	M38	No
G	2	2B	MA	3	80.664	M38	No
G	2	2B	MA	4	170.376	M38	No
G	2	2B	MA	5	115.625	M38	No
G	2	5B	MA	1	218.483	M38	No
G	3	8	MA	5	151.872	M38	No
G	4	5	MA	1	93.915	M38	No
G	4	5	MA	2	68.225	M38	No
G	4	5	MA	3	134.161	M38	No
G	3	3	MA	1	49.735	M38	No
G	3	3	MA	2	36.083	M38	No
G	3	3	MA	3	123.962	M38	No
G	3	3	MA	4	90.175	M38	No
G	3	3	MA	5	75.797	M38	No
G	3	8	MA	1	59.546	M38	No
G	3	8	MA	2	43.333	M38	No
G	3	8	MA	3	75.11	M38	No
G	3	8	MA	4	93.561	M38	No
G	4	8	MA	5	55.082	M38	No
H	2	2	NS	1	83.293	M6	No
H	2	2	NS	2	53.683	M6	No
H	2	2	NS	4	38.375	M6	No
H	2	2	PV	1	27.461	M6	No
H	2	2	PV	2	44.481	M6	No
H	2	2	NS	3	36.54	M6	No
H	2	2	PV	4	35.031	M6	No
H	2	2	PV	5	24.737	M6	No
H	2	6	PV	1	25.71	M6	No
H	2	2	PV	3	35.438	M6	No
H	2	6	PV	3	38.099	M6	No
H	2	6	PV	4	16.462	M6	No
H	2	6	PV	5	35.509	M6	No
H	3	3	PV	1	56.302	M6	No
H	3	3	PV	2	33.748	M6	No
H	3	3	PV	3	32.998	M6	No
H	3	3	PV	4	47.382	M6	No
H	3	3	PV	5	24.101	M6	No
H	3	4	PV	1	43.474	M6	No
H	3	4	PV	2	19.426	M6	No
H	3	4	PV	3	35.144	M6	No
H	3	4	PV	4	54.457	M6	No
H	3	4	PV	5	57.563	M6	No
H	3	3	MA	4	52.844	M6	No
H	3	3	MA	5	36.446	M6	No
H	3	4	MA	1	31.782	M6	No
H	3	4	MA	2	28.467	M6	No
H	3	4	MA	3	37.25	M6	No
H	3	4	MA	4	58.618	M6	No
H	3	4	MA	5	48.287	M6	No
H	3	4	NS	2	42.833	M6	No
H	2	2	NS	5	71.711	M6	No
H	2	6	NS	1	69.276	M6	No
H	2	6	NS	2	27.758	M6	No
H	2	6	NS	3	24.107	M6	No
H	2	6	NS	4	47.222	M6	No
H	2	6	NS	5	42.442	M6	No
H	3	3	NS	1	38.044	M6	No
H	3	3	NS	2	27.29	M6	No
H	3	3	NS	3	12.979	M6	No
H	3	3	NS	4	43.119	M6	No
H	3	3	NS	5	27.044	M6	No
H	3	4	NS	1	26.609	M6	No
H	2	6	MA	1	33.083	M6	No
H	3	4	NS	3	18.48	M6	No
H	3	4	NS	4	23.822	M6	No
H	3	4	NS	5	26.707	M6	No
H	2	6	MA	5	35.486	M6	No
H	3	3	MA	1	32.474	M6	No
H	3	3	MA	2	25.994	M6	No
H	2	6	PV	2	33.61	M6	No
H	2	2	MA	1	38.588	M6	No
H	2	2	MA	2	41.966	M6	No
H	2	2	MA	3	38.822	M6	No
H	2	2	MA	4	31.92	M6	No
H	2	2	MA	5	21.01	M6	No
H	2	6	MA	2	18.727	M6	No
H	2	6	MA	3	22.267	M6	No
H	2	6	MA	4	30.738	M6	No
H	3	3	MA	3	44.19	M6	No
I	2	5	PV	3	32.23	M27	No
I	3	4	MA	3	29.772	M27	No
I	3	4	MA	4	21.517	M27	No
I	3	4	MA	5	42.952	M27	No
I	3	4	NS	3	36.872	M27	No
I	3	4	NS	4	30.813	M27	No
I	3	4	NS	5	18.713	M27	No
I	2	1	PV	4	71.29	M27	No
I	2	1	PV	5	30.603	M27	No
I	2	5	PV	1	43.859	M27	No
I	2	5	PV	2	32.484	M27	No
I	2	5	PV	4	26.061	M27	No
I	2	5	PV	5	31.882	M27	No
I	3	1	PV	1	21.166	M27	No
I	3	1	PV	2	22.487	M27	No
I	3	1	PV	3	19.393	M27	No
I	3	1	PV	4	22.995	M27	No
I	3	1	PV	5	17.886	M27	No
I	3	4	PV	1	20.981	M27	No
I	3	4	PV	2	26.773	M27	No
I	3	4	PV	3	21.849	M27	No
I	3	4	PV	4	21.145	M27	No
I	3	4	PV	5	20.639	M27	No
I	3	1	MA	4	28.29	M27	No
I	3	1	MA	5	29.793	M27	No
I	3	4	MA	1	32.175	M27	No
I	3	4	MA	2	21.602	M27	No
I	2	1	NS	1	46.625	M27	No
I	2	1	NS	2	46.016	M27	No
I	2	1	NS	3	34.705	M27	No
I	2	1	NS	4	43.279	M27	No
I	2	1	NS	5	45.541	M27	No
I	2	5	NS	1	35.882	M27	No
I	2	5	NS	2	39.254	M27	No
I	2	5	NS	3	34.776	M27	No
I	2	5	NS	4	31.724	M27	No
I	2	5	NS	5	31.575	M27	No
I	3	1	NS	1	36.132	M27	No
I	3	1	NS	2	25.282	M27	No
I	3	1	NS	3	27.239	M27	No
I	3	1	NS	4	23.032	M27	No
I	3	1	NS	5	30.512	M27	No
I	3	4	NS	1	19.542	M27	No
I	3	4	NS	2	40.284	M27	No
I	2	1	PV	1	49.833	M27	No
I	2	1	PV	2	31.436	M27	No
I	2	1	PV	3	39.092	M27	No
I	2	5	MA	5	29.901	M27	No
I	3	1	MA	1	35.803	M27	No
I	3	1	MA	2	23.089	M27	No
I	3	1	MA	3	43.333	M27	No
I	2	1	MA	1	27.975	M27	No
I	2	1	MA	2	40.65	M27	No
I	2	1	MA	3	37.96	M27	No
I	2	1	MA	4	31.604	M27	No
I	2	1	MA	5	39.16	M27	No
I	2	5	MA	1	30.164	M27	No
I	2	5	MA	2	57.093	M27	No
I	2	5	MA	3	38.084	M27	No
I	2	5	MA	4	23.062	M27	No
J	4	5	PV	5	46.568	M32	No
J	4	9	PV	1	32.444	M32	No
J	4	9	PV	2	37.455	M32	No
J	4	9	PV	3	17.515	M32	No
J	3	11	NS	3	30.744	M32	No
J	3	11	NS	4	81.551	M32	No
J	3	11	NS	5	28.448	M32	No
J	4	5	NS	1	35.765	M32	No
J	4	5	NS	2	27.729	M32	No
J	4	5	NS	3	36.845	M32	No
J	2	11	PV	3	35.248	M32	No
J	2	11	PV	4	33.589	M32	No
J	2	11	PV	5	24.983	M32	No
J	3	2	PV	1	38.017	M32	No
J	3	2	PV	2	30.728	M32	No
J	3	2	PV	3	42.672	M32	No
J	3	2	PV	4	39.455	M32	No
J	3	2	PV	5	65.184	M32	No
J	3	11	PV	1	28.371	M32	No
J	3	11	PV	2	23.174	M32	No
J	3	11	PV	3	22.324	M32	No
J	3	11	PV	4	31.882	M32	No
J	3	11	PV	5	24.458	M32	No
J	4	5	PV	1	25.714	M32	No
J	4	5	PV	2	25.232	M32	No
J	4	5	PV	3	26.216	M32	No
J	4	5	PV	4	35.961	M32	No
J	2	1	NS	1	21.499	M32	No
J	2	1	NS	2	18.714	M32	No
J	2	1	NS	3	32.056	M32	No
J	2	1	NS	4	21.024	M32	No
J	2	1	NS	5	43.863	M32	No
J	2	11	NS	1	31.804	M32	No
J	2	11	NS	2	44.487	M32	No
J	2	11	NS	3	39.401	M32	No
J	2	11	NS	4	25.52	M32	No
J	2	11	NS	5	17.446	M32	No
J	3	2	NS	1	18.931	M32	No
J	3	2	NS	2	23.774	M32	No
J	3	2	NS	3	18.46	M32	No
J	3	2	NS	4	39.024	M32	No
J	3	2	NS	5	32.23	M32	No
J	3	11	NS	1	38.43	M32	No
J	3	11	NS	2	66.367	M32	No
J	2	1	PV	1	30.68	M32	No
J	2	1	PV	2	38.65	M32	No
J	2	1	PV	3	55.021	M32	No
J	2	1	PV	4	22.116	M32	No
J	2	1	PV	5	23.947	M32	No
J	2	11	PV	1	22.956	M32	No
J	2	11	PV	2	22.532	M32	No
J	2	1	MA	1	43.388	M32	No
J	2	1	MA	2	42.928	M32	No
J	2	1	MA	3	54.298	M32	No
J	2	1	MA	4	50.96	M32	No
J	2	1	MA	5	45.503	M32	No
J	2	11	MA	1	25.942	M32	No
J	2	11	MA	2	20.809	M32	No
J	2	11	MA	3	19.235	M32	No
J	2	11	MA	4	19.849	M32	No
J	2	11	MA	5	22.361	M32	No
J	3	2	MA	1	35.698	M32	No
J	3	2	MA	2	35.442	M32	No
J	3	2	MA	3	19.325	M32	No
J	3	2	MA	4	68.37	M32	No
J	3	2	MA	5	30.376	M32	No
J	3	11	MA	1	60.36	M32	No
J	3	11	MA	2	31.277	M32	No
J	3	11	MA	3	27.026	M32	No
J	3	11	MA	4	28.069	M32	No
J	3	11	MA	5	37.426	M32	No
J	4	5	MA	1	65.221	M32	No
J	4	5	MA	2	32.52	M32	No
J	4	9	PV	4	27.242	M32	No
J	4	9	PV	5	42.251	M32	No
J	5	7	PV	1	52.437	M32	No
J	5	7	PV	2	36.856	M32	No
J	5	7	PV	3	39.646	M32	No
J	5	7	PV	4	47.204	M32	No
J	5	7	PV	5	73.08	M32	No
J	5	9	PV	1	51.923	M32	No
J	5	9	PV	2	28.895	M32	No
J	5	9	PV	3	22.131	M32	No
J	5	9	PV	4	29.373	M32	No
J	5	9	PV	5	22.236	M32	No
J	5	7	MA	5	54.005	M32	No
J	5	9	MA	1	40.342	M32	No
J	5	9	MA	2	30.699	M32	No
J	5	9	MA	3	19.798	M32	No
J	5	9	MA	4	18.27	M32	No
J	5	9	MA	5	20.568	M32	No
J	4	5	NS	4	20.554	M32	No
J	4	5	NS	5	38.002	M32	No
J	4	9	NS	1	29.348	M32	No
J	4	9	NS	2	29.348	M32	No
J	4	9	NS	3	35.838	M32	No
J	4	9	NS	4	20.568	M32	No
J	4	9	NS	5	19.988	M32	No
J	5	7	NS	1	48.868	M32	No
J	5	7	NS	2	43.365	M32	No
J	5	7	NS	3	18.699	M32	No
J	5	7	NS	4	81.629	M32	No
J	5	7	NS	5	50.642	M32	No
J	5	9	NS	1	36.621	M32	No
J	5	9	NS	2	34.049	M32	No
J	5	9	NS	3	19.325	M32	No
J	5	9	NS	4	33.015	M32	No
J	5	9	NS	5	54.69	M32	No
J	4	9	MA	5	30.55	M32	No
J	5	7	MA	1	26.663	M32	No
J	5	7	MA	2	26.13	M32	No
J	5	7	MA	3	39.16	M32	No
J	5	7	MA	4	30.376	M32	No
J	4	9	MA	1	41.547	M32	No
J	4	5	MA	3	39.092	M32	No
J	4	5	MA	4	22.648	M32	No
J	4	5	MA	5	27.424	M32	No
J	4	9	MA	2	42.498	M32	No
J	4	9	MA	3	50.59	M32	No
J	4	9	MA	4	36.343	M32	No
K	3	7	NS	1	16.317	M34	No
K	3	6	NS	1	18.273	M34	No
K	3	6	NS	2	10.95	M34	No
K	3	6	NS	3	23.13	M34	No
K	3	6	NS	4	26.126	M34	No
K	3	6	NS	5	18.474	M34	No
K	3	6	PV	1	14.581	M34	No
K	3	6	PV	2	17.354	M34	No
K	3	6	PV	3	33.047	M34	No
K	3	6	PV	4	28.758	M34	No
K	3	6	PV	5	26.427	M34	No
K	3	7	PV	2	28.531	M34	No
K	3	7	PV	3	25.442	M34	No
K	3	7	PV	4	25.861	M34	No
K	3	7	PV	5	31.2	M34	No
K	3	6	MA	5	18.349	M34	No
K	3	7	MA	1	19.552	M34	No
K	3	7	MA	2	19.578	M34	No
K	3	7	MA	3	22.322	M34	No
K	3	7	MA	4	22.322	M34	No
K	3	7	MA	5	27.781	M34	No
K	3	7	NS	2	29.163	M34	No
K	3	7	NS	3	23.608	M34	No
K	3	7	NS	4	33.028	M34	No
K	3	7	NS	5	20.759	M34	No
K	3	7	PV	1	28.755	M34	No
K	3	6	MA	1	25.949	M34	No
K	3	6	MA	2	18.036	M34	No
K	3	6	MA	3	23.848	M34	No
K	3	6	MA	4	28.28	M34	No
L	3	7	PV	1	46.896	M37	No
L	3	7	PV	2	67.419	M37	No
L	3	7	PV	3	56.998	M37	No
L	3	7	PV	4	44.078	M37	No
L	2	5	PV	2	38.408	M37	No
L	2	5	PV	3	57.079	M37	No
L	2	5	PV	4	54.555	M37	No
L	2	5	PV	5	74.133	M37	No
L	3	6	PV	1	75.59	M37	No
L	3	6	PV	2	27.98	M37	No
L	3	6	PV	3	64.318	M37	No
L	3	6	PV	4	64.088	M37	No
L	3	6	PV	5	77.449	M37	No
L	2	5	NS	1	61.362	M37	No
L	2	5	NS	2	76.053	M37	No
L	2	5	NS	3	72.171	M37	No
L	2	5	NS	4	85.864	M37	No
L	2	5	NS	5	65.198	M37	No
L	3	6	NS	1	61.775	M37	No
L	3	6	NS	2	70.082	M37	No
L	3	6	NS	3	57.179	M37	No
L	3	7	MA	3	65.307	M37	No
L	3	7	MA	4	79.712	M37	No
L	3	7	MA	5	44.011	M37	No
L	2	4	NS	4	41.768	M37	No
L	2	4	NS	5	124.173	M37	No
L	3	7	NS	4	68.473	M37	No
L	3	7	NS	5	62.977	M37	No
L	2	4	PV	3	67.594	M37	No
L	2	4	PV	4	86.413	M37	No
L	2	4	PV	5	76.783	M37	No
L	2	5	PV	1	107.136	M37	No
L	2	4	MA	1	90.121	M37	No
L	2	4	MA	2	97.922	M37	No
L	2	4	MA	3	39.275	M37	No
L	2	4	MA	4	88.836	M37	No
L	2	4	MA	5	103.417	M37	No
L	2	5	MA	1	68.201	M37	No
L	2	5	MA	2	68.889	M37	No
L	2	5	MA	3	81.958	M37	No
L	2	5	MA	4	61.445	M37	No
L	2	5	MA	5	78.406	M37	No
L	3	6	MA	1	51.225	M37	No
L	3	6	MA	2	66.275	M37	No
L	3	7	PV	5	48.806	M37	No
L	3	6	MA	5	50.656	M37	No
L	3	7	MA	1	54.918	M37	No
L	3	7	MA	2	49.621	M37	No
L	2	4	NS	1	41.218	M37	No
L	2	4	NS	2	87.697	M37	No
L	2	4	NS	3	63.758	M37	No
L	3	7	NS	2	36.605	M37	No
L	3	7	NS	3	80.325	M37	No
L	2	4	PV	1	50.505	M37	No
L	2	4	PV	2	40.038	M37	No
L	3	6	MA	4	49.717	M37	No
L	3	6	NS	4	27.17	M37	No
L	3	6	MA	3	45.745	M37	No
L	3	7	NS	1	45.083	M37	No
L	3	6	NS	5	35.363	M37	No
M	2	6	MA	1	35.43	M3	No
M	2	6	MA	5	42.565	M3	No
M	2	6	MA	2	25.883	M3	No
M	2	5	MA	5	38.185	M3	No
M	2	6	PV	2	19.401	M3	No
M	2	6	PV	3	19.498	M3	No
M	2	6	PV	4	30.271	M3	No
M	2	6	PV	5	28.689	M3	No
M	2	5	NS	1	25.883	M3	No
M	2	5	NS	2	21.569	M3	No
M	2	5	NS	3	36.433	M3	No
M	2	6	MA	3	25.381	M3	No
M	2	6	MA	4	17.345	M3	No
M	2	6	NS	1	30.851	M3	No
M	2	6	NS	2	16.614	M3	No
M	2	6	NS	3	34.603	M3	No
M	2	6	NS	4	17.588	M3	No
M	2	6	NS	5	17.37	M3	No
M	2	6	PV	1	26.825	M3	No
M	2	5	MA	1	39.472	M3	No
M	2	5	MA	2	16.74	M3	No
M	2	5	MA	3	23.713	M3	No
M	2	5	MA	4	17.455	M3	No
M	2	5	PV	2	28.331	M3	No
M	2	5	NS	4	38.072	M3	No
M	2	5	NS	5	18.73	M3	No
M	2	5	PV	1	18.802	M3	No
M	2	5	PV	3	19.889	M3	No
M	2	5	PV	4	28.974	M3	No
M	2	5	PV	5	33.273	M3	No
N	2	6	NS	1	44.433	M33	No
N	2	5	NS	1	33.239	M33	No
N	2	5	NS	2	29.332	M33	No
N	2	5	NS	3	31.04	M33	No
N	2	5	NS	4	70.365	M33	No
N	2	5	NS	5	42.201	M33	No
N	2	5	PV	1	30.952	M33	No
N	2	5	PV	2	38.238	M33	No
N	2	5	PV	3	33.234	M33	No
N	2	5	PV	4	46.377	M33	No
N	2	5	PV	5	40.605	M33	No
N	2	6	PV	1	28.385	M33	No
N	2	5	MA	1	36.194	M33	No
N	2	5	MA	2	57.839	M33	No
N	2	5	MA	3	36.303	M33	No
N	2	5	MA	4	36.274	M33	No
N	2	5	MA	5	33.802	M33	No
N	2	6	MA	1	32.59	M33	No
N	2	6	MA	2	40.423	M33	No
N	2	6	MA	3	26.869	M33	No
N	2	6	MA	4	35.034	M33	No
N	2	6	MA	5	45.109	M33	No
N	2	6	NS	5	30.242	M33	No
N	2	6	NS	2	46.151	M33	No
N	2	6	NS	3	17.881	M33	No
N	2	6	NS	4	46.915	M33	No
N	2	6	PV	4	39.662	M33	No
N	2	6	PV	5	28.331	M33	No
N	2	6	PV	2	37.097	M33	No
N	2	6	PV	3	38.085	M33	No
O	2	1	MA	1	41.707	M8	No
O	2	6	MA	1	26.612	M8	No
O	3	1	MA	1	34.957	M8	No
O	3	1	MA	2	25.726	M8	No
O	3	1	MA	3	38.551	M8	No
O	3	1	MA	4	34.026	M8	No
O	2	1	MA	2	24.403	M8	No
O	2	1	MA	3	20.272	M8	No
O	2	1	MA	4	27.902	M8	No
O	2	1	MA	5	23.874	M8	No
O	3	6	MA	4	39.11	M8	No
O	2	6	MA	2	21.452	M8	No
O	2	6	MA	3	21.004	M8	No
O	2	6	MA	4	20.88	M8	No
O	2	6	MA	5	24.21	M8	No
O	2	6	NS	1	25.744	M8	No
O	2	6	NS	2	16.282	M8	No
