	Mouse.ID	Date	Left.Ear.Punch	Right.Ear.Punch	Body.Weight..g.	Fasting.Glucose	Donor	Donor.Type	Cohoused	Cage.ID	Diet	Diet.Type	Food.Weight.Out..g.	Food.Weight.In..g.	timepoint	Week	Group.Start	Group.End
M38.3.13.18	M38	3/13/18	1	1	20.7	NA	TFSCS026	Thai	FALSE	10	LabDiet 5061	HighFiber	90.2	313	middle	4	Thai.HighFiber	Thai.HighFiber
M38.3.27.18	M38	3/27/18	1	1	21.7	NA	TFSCS026	Thai	FALSE	10	LabDiet 5061	HighFiber	63	356	middle	6	Thai.HighFiber	Thai.HighFiber
M38.4.9.18	M38	4/10/18	1	1	22.8	114	TFSCS026	Thai	FALSE	10	LabDiet 5061	HighFiber	111.9	NA	endpoint	8	Thai.HighFiber	Thai.HighFiber
M4.7.11.17	M4	7/11/17	1	1	15.9	113	TFSCS023	Thai	FALSE	1	TD.86489	LowFiber	NA	227.4	baseline	0	Thai.LowFiber	Thai.LowFiber
M4.7.25.17	M4	7/25/17	1	1	17.8	NA	TFSCS023	Thai	FALSE	1	TD.86489	LowFiber	14.3	228.8	middle	2	Thai.LowFiber	Thai.LowFiber
M4.8.8.17	M4	8/8/17	1	1	18.4	NA	TFSCS023	Thai	FALSE	1	TD.86489	LowFiber	29.9	206	middle	4	Thai.LowFiber	Thai.LowFiber
M4.8.22.17	M4	8/22/17	1	1	21.1	NA	TFSCS023	Thai	FALSE	1	TD.86489	LowFiber	7.4	229	middle	6	Thai.LowFiber	Thai.LowFiber
M4.9.5.17	M4	9/5/17	1	1	22.9	362	TFSCS023	Thai	FALSE	1	TD.86489	LowFiber	34.9	NA	endpoint	8	Thai.LowFiber	Thai.LowFiber
M5.7.11.17	M5	7/11/17	2	0	16.7	155	TFSCS023	Thai	FALSE	1	TD.86489	LowFiber	NA	227.4	baseline	0	Thai.LowFiber	Thai.LowFiber
M5.7.25.17	M5	7/25/17	2	0	18.2	NA	TFSCS023	Thai	FALSE	1	TD.86489	LowFiber	14.3	228.8	middle	2	Thai.LowFiber	Thai.LowFiber
M5.8.8.17	M5	8/8/17	2	0	19.5	NA	TFSCS023	Thai	FALSE	1	TD.86489	LowFiber	29.9	206	middle	4	Thai.LowFiber	Thai.LowFiber
M5.8.22.17	M5	8/22/17	2	0	22.4	NA	TFSCS023	Thai	FALSE	1	TD.86489	LowFiber	7.4	229	middle	6	Thai.LowFiber	Thai.LowFiber
M5.9.5.17	M5	9/5/17	2	0	22.8	221	TFSCS023	Thai	FALSE	1	TD.86489	LowFiber	34.9	NA	endpoint	8	Thai.LowFiber	Thai.LowFiber
M6.7.11.17	M6	7/11/17	0	0	18	98	IMP.263	US	FALSE	2	TD.86489	LowFiber	NA	226.8	baseline	0	US.LowFiber	US.LowFiber
M6.7.25.17	M6	7/25/17	0	0	20.9	NA	IMP.263	US	FALSE	2	TD.86489	LowFiber	7.1	227.9	middle	2	US.LowFiber	US.LowFiber
M6.8.8.17	M6	8/8/17	0	0	20.1	NA	IMP.263	US	FALSE	2	TD.86489	LowFiber	37.1	214.7	middle	4	US.LowFiber	US.LowFiber
M6.8.22.17	M6	8/22/17	0	0	20.9	NA	IMP.263	US	FALSE	2	TD.86489	LowFiber	2	403.4	middle	6	US.LowFiber	US.LowFiber
M6.9.5.17	M6	9/5/17	0	0	23.7	277	IMP.263	US	FALSE	2	TD.86489	LowFiber	162.2	NA	endpoint	8	US.LowFiber	US.LowFiber
M7.7.11.17	M7	7/11/17	1	0	18.5	126	IMP.263	US	FALSE	2	TD.86489	LowFiber	NA	226.8	baseline	0	US.LowFiber	US.LowFiber
M7.7.25.17	M7	7/25/17	1	0	20	NA	IMP.263	US	FALSE	2	TD.86489	LowFiber	7.1	227.9	middle	2	US.LowFiber	US.LowFiber
M7.8.8.17	M7	8/8/17	1	0	19.1	NA	IMP.263	US	FALSE	2	TD.86489	LowFiber	37.1	214.7	middle	4	US.LowFiber	US.LowFiber
M7.8.22.17	M7	8/22/17	1	0	22.3	NA	IMP.263	US	FALSE	2	TD.86489	LowFiber	2	403.4	middle	6	US.LowFiber	US.LowFiber
M7.9.5.17	M7	9/5/17	1	0	21.5	144	IMP.263	US	FALSE	2	TD.86489	LowFiber	162.2	NA	endpoint	8	US.LowFiber	US.LowFiber
M8.7.11.17	M8	7/11/17	0	1	17.3	99	IMP.263	US	FALSE	2	TD.86489	LowFiber	NA	226.8	baseline	0	US.LowFiber	US.LowFiber
M8.7.25.17	M8	7/25/17	0	1	19.4	NA	IMP.263	US	FALSE	2	TD.86489	LowFiber	7.1	227.9	middle	2	US.LowFiber	US.LowFiber
M8.8.8.17	M8	8/8/17	0	1	19.7	NA	IMP.263	US	FALSE	2	TD.86489	LowFiber	37.1	214.7	middle	4	US.LowFiber	US.LowFiber
M8.8.22.17	M8	8/22/17	0	1	19.7	NA	IMP.263	US	FALSE	2	TD.86489	LowFiber	2	403.4	middle	6	US.LowFiber	US.LowFiber
M8.9.5.17	M8	9/5/17	0	1	21.4	NA	IMP.263	US	FALSE	2	TD.86489	LowFiber	162.2	197.1	middle	8	US.LowFiber	US.LowFiber
M8.9.19.17	M8	9/19/17	0	1	21.8	319	IMP.263	US	TRUE	C1-2	TD.86489	LowFiber	6.5	NA	endpoint	10	US.LowFiber	US.LowFiber.Cohoused
M9.7.11.17	M9	7/11/17	1	1	18.6	104	IMP.263	US	FALSE	2	TD.86489	LowFiber	NA	226.8	baseline	0	US.LowFiber	US.LowFiber
M9.7.25.17	M9	7/25/17	1	1	20.6	NA	IMP.263	US	FALSE	2	TD.86489	LowFiber	7.1	227.9	middle	2	US.LowFiber	US.LowFiber
M9.8.8.17	M9	8/8/17	1	1	20.1	NA	IMP.263	US	FALSE	2	TD.86489	LowFiber	37.1	214.7	middle	4	US.LowFiber	US.LowFiber
M9.8.22.17	M9	8/22/17	1	1	20.5	NA	IMP.263	US	FALSE	2	TD.86489	LowFiber	2	403.4	middle	6	US.LowFiber	US.LowFiber
M9.9.5.17	M9	9/5/17	1	1	23.9	NA	IMP.263	US	FALSE	2	TD.86489	LowFiber	162.2	197.1	middle	8	US.LowFiber	US.LowFiber
M9.9.19.17	M9	9/19/17	1	1	24.2	263	IMP.263	US	TRUE	C1-2	TD.86489	LowFiber	6.5	NA	endpoint	10	US.LowFiber	US.LowFiber.Cohoused
